ID,College Name,Region,Location,District,Autonomus_Status,Boys_Total,Girls_Total,Website Link,Contact Number,Email Address,Tpo Name,Tpo Contact Number
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile ",Amravati,"Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon",Buldhana,Non-Autonomous,0,0,www.stc.org.in,220222,admn.stc@gmail.com,Prof. Umesh Kute,220333
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Amravati,"Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola",Akola,Non-Autonomous,60,30,www.manavengineering.ac.in,238406,principal@manavengineering.ac.in,Santosh Kale,238406
1278,"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur",Amravati,"Sr.No.32/4 , Mauja Jambla, Anjangaon Road, Paratwada Tal. Achalpur Dist. Amravati",Amravati,Non-Autonomous,0,0,www.dbdcoe.org,225503-07223,drdbdod@rediffmail.com,Jayashree R. Talokar,9970931278
2008,"Government College of Engineering,  Aurangabad",Aurangabad,"Station Road, Osmanpura,  Aurangabad",Aurangabad,Autonomous,270,120,www.geca.ac.in,2366111,principalgeca@yahoo.com,Rasal Shivaji Bhagwan,2366111
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Aurangabad,"Vishnupuri, Nanded",Nanded,Autonomous,225,380,www.sggs.ac.in,229234,director@sggs.ac.in,Mr. S. M. Nilangekar,229234
2021,"University Department of Chemical Technology, Aurangabad",Aurangabad,"Dr. Babasaheb Ambedkar Marathwada University Campus, Aurangabad",Aurangabad,Non-Autonomous,400,300,www.bamu.net,2403308-308,udctaurangabad@yahoo.co.in,Dr. Ganesh R. Manza,2403307-307
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad,"Gut No. 258 (P), Satara Tanda, Tal & Dist. Aurangabad",Aurangabad,Non-Autonomous,260,100,www.syp.ac.in,6608701-701,sycet@yahoo.com,N.S.Saraf ,6608702-702
2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad,"N.H. No. 211,Beed bypass Road, Satara, Aurangabad",Aurangabad,Non-Autonomous,100,75,www.mit.asia,2375222-222,spbhosle2001@gmail.com,Prof.Makarand Suresh Vaishnav,2375222-222
2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad,"Deogiri College Campus, Railway Station Road, Aurangabad",Aurangabad,Non-Autonomous,200,100,www.dietms.org,2367575-575,shiurkar@gmail.com,G. N.Tambe ,2367567-567
2119,"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded",Aurangabad,"Yashwant College Campus, VIP Road Nanded,(MS) 431602",Nanded,Non-Autonomous,0,0,www.ssbesitm.org,254850,ssbesitm@yahoo.com,S.B.HAMBARDE,253471
2120,"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.",Aurangabad,"C/o. Dnyanopasak College of  Arts, Commeres  & Science, Near Zilla Parishad, Jintur Road, Parbhani  431401",Parbhani,Non-Autonomous,0,0,www.dsmiitm.com,293044,gopal.hoge@gmail.com,sandip bhagwanrao panchange,293044
2125,"S.V.S.P. Mandal's Swami Vivekanand Institute of Technology and Mangement ,Udgir",Aurangabad,"Avalkonda Road, Udgir, Dist. Latur.   413517",Latur,Non-Autonomous,20,20,www.svspm.edu.in,253970,svitm934@gmail.com,Datta Gharge,253970
2126,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,"P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway ,Aurangabad",Aurangabad,Non-Autonomous,300,175,www.mit.asia,2375375-111,principal.mite@mit.asia,SHRI. SURENDRA R. PATIL,2375111
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Aurangabad,"Near Airport,Hingoli Road, Nanded",Nanded,Non-Autonomous,75,50,www.mgmcen.ac.in,222999,mgmcen@mgmcen.ac.in,Mrs.  Amruta A. Sarsar ,224087
2129,"M.S. Bidve Engineering College, Latur",Aurangabad,"P.O. Box No. 112, Barshi Road, Latur",Latur,Non-Autonomous,210,280,www.msbecl.ac.in,221255-21,principal@msbecl.ac.in,MRS. BAWAGE V.V.,221846
2131,"Shree Tuljabhavani College of Engineering, Tuljapur",Aurangabad,"Naldurg Road, Tuljapur, Dist. Osmanabad",Osmanabad,Non-Autonomous,120,120,www.stbcet.org.in,243603,stbcet@gmail.com,Ms. S.T. Koli,243603
2132,"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",Aurangabad,"Mahatma Gandhi Mission's Jawaharlal Nehru Engg. College Campus, N-6, CIDCO",Aurangabad,Non-Autonomous,150,140,www.jnec.org,2482893-105,jnec@jnec.ac.in,Mrs. Aishwarya D. Joshi ,2481434
2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Aurangabad,"Ambejogai, Beed",Beed,Non-Autonomous,300,300,www.coea.ac.in,247262,khadakbhavibi@gmail.com,NOT FILLED,2488882
2134,"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad,"Nagasen Vana, Near Panchakki, University Rd., Aurangabad",Aurangabad,Non-Autonomous,240,150,www.pescoe.ac.in,2403017,principal@pescoe.ac.in,Shri. V. F. Gajbhiye,2403001
2135,"Hi-Tech Institute of Technology, Aurangabad",Aurangabad,"P-119, Bajajnagar, Aurangabad ",Aurangabad,Non-Autonomous,100,60,www.hitechengg.edu.in,2553496-14,principal@hitechengg.edu.in,Mr.B.B.Jadhav,2552240
2137,"Nagnathappa Halge Engineering  College, Parli, Beed",Aurangabad,"At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",Beed,Non-Autonomous,200,200,www.nhce.in,224334,nhce1@hotmail.com,Prof. Mulgir S.N.,224334
2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad,"Jalna-Aurangabad Road, Nagewadi, Jalna",Jalna,Non-Autonomous,150,150,www.msscetjalna.org,202533,msscetjalna@gmail.com,Sham B. Bhojane,202533
2141,"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad,"Gut No. 80, Paddari Village,Near Beed bypass,via Deolai,Near Sai Mandir, Tal. & Dist. Aurangabad",Aurangabad,Non-Autonomous,40,40,www.saiengineeringcollege.in,6453732-0240,appoint01@gmail.com,Kharat B.M.,6517388-0240
2144,"Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology, Somnathpur",Aurangabad,"Vill. Somnathpur, Tal. Udgir. Dist. Latur",Latur,Non-Autonomous,0,0,www.muec.ac.in,256152,principalmuimt@gmail.com,Mr. Kulkarni A.B.,257722
2145,"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.",Aurangabad,"Balsond, Tal.& Dist. Hingoli",Hingoli,Non-Autonomous,0,0,www.ksiet.org,290281,ksiet_hingoli@yahoo.co.in,Ashruba Limbaji Korde,290282
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad,"Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal.  & Dist. Osmanabad",Osmanabad,Non-Autonomous,90,30,www.ktpcoe.org.in,2293200,ktpcoeo@gmail.com,ANDHALKAR SANTOSH,2293099
2160,"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad",Aurangabad,"PB 327,Satara Road, Aurangabad",Aurangabad,Non-Autonomous,50,50,www.mit.asia,2375111,info@mit.asia,Surendra R. Patil,2375111
2171,"Gramodyogik Shikshan Mandal's Marathwada Institute Of Technology, Rotegaon, Vaijapur, Dist. Aurangabad.",Aurangabad,"Rotegaon, Post Box No. 327, Taluka, Vaijapur,Satara Village Road Dist. Aurangabad 431028",Aurangabad,Non-Autonomous,0,0,www.mit.asia,204035,munish.sharma@mit.asia,V.G.Talekar,204035
2174,"Shree Bharavnath Nisarga Mandal, Diploma in Engineering and Technology, Gevrai Tanda, Aurangabad",Aurangabad,"Gevrai Tanda, Paithan Road, Taluka & Dist. Aurangabad.  431001",Aurangabad,Non-Autonomous,0,0,www.sbnmpoly.org,2480451,principalsbnm@rediffmail.com,Mr. Kazi M,6616401
2178,"Vinayakrao Patil Shikshan Prasarak Mandal, Institute Of Engineering & Technology Kannad",Aurangabad,"Kannad, Dist Aurangabad ",Aurangabad,Non-Autonomous,40,80,www.ietkannad.org,220588,1157principal@msbte.com,MAGAR  N.S.,220588
2184,"Shree Dhaneshwari Manav Vikas Mandal Diploma In Engineering And Technology Institute, Hatta, Tal. Basmat, Hingoli",Aurangabad,"Hatta, Taluka Vasamat, Dist. Hingoli ",Hingoli,Non-Autonomous,50,25,www.sdmvmspolyhatta.in,22454-24410,1006principal@msbte.com,Mr.Raut V.G.,244257-24410
2185,"Dharati Janseva Pratishthan, Diploma In Engineering & Technology Institute, Jalna",Aurangabad,"Rohanwadi, Revgaon Raod, Tq.Dist.Jalna ",Jalna,Non-Autonomous,0,0,www.djppolytech.org,02482223-739,1093principal@msbte.com,SHINDE B. T.,8888651267
2192,"Education Society, Kalawatibai College Of Engineering & Technology (Polytechnic), Naigaon, Nanded",Aurangabad,"Lalwandi Road, Tal. Naigaon (Kh), Nanded  431709",Nanded,Non-Autonomous,50,30,www.kalawatibaipoly.com,263399-02465,1155principal@msbte.com,Mrs.Dachawar P.S.,263399-02465
2193,"Sahayog Sevabhai Sanstha, Indira Institute Of Technology(Polytechnic), Nanded.",Aurangabad,"Gat No. 18 & 22 Vishnupuri, Nanded 431606",Nanded,Non-Autonomous,0,0,www.sahayogcampus.ac.in,229155,indirapoly@gmail.com,KIRKAN SHANKAR SANJAY,229155
2224,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,"P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway Aurangabad , 431005",Aurangabad,Non-Autonomous,125,40,www.mit.asia,2375333,sunil.deshmukh@mit.asia,PRAKASH G. GADHE,2375333-0240
2250,"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",Aurangabad,"GatT No 52, TUljapur Shivar, Naygoan Savangi, Aurangabad",Aurangabad,Non-Autonomous,120,60,www.aurangabadengg.com,2485686-0240,lokhande3000@gmail.com,Bhandrakar Sheetal ,-0240
2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Aurangabad,"Vasmat Road,Parbhani",Parbhani,Non-Autonomous,200,75,www.mspgroup.org,234109,director.ssiems@yahoo.com,Solanke Vikas Shankarrao,234109
2279,"Ransamrat Kreeda Mandal's Rajarshi Shahu Institue of Technology,Parli Road Kallam, Dist. Osmanabad",Aurangabad,"Gat No 65-A/2, Parli Road Kallam, Dist. Osmanabad. 413507",Osmanabad,Non-Autonomous,40,20,www.shahuitkallam.org,263010,rsit1489@gmail.com,Jawale Niteen Khanderao,263011
2286,"Ambarwadikar Institute of Hotel Management & Catering Technology Polytechnic, Deolai, Aurangabad",Aurangabad,"Gut No. 103, Deolai, Surya Lawns Campus, Beed , Aurangabad ",Aurangabad,Non-Autonomous,0,0,www.ambarwadikartech.com,2653155,ambarwadikar.hmct@gmail.com,Mr.Raju Kale,2242044-46
2292,"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed",Aurangabad," Murshadapur, Tq. Ashti, Dist. Beed.  414203",Beed,Non-Autonomous,80,40,www.dietashti.org,282974-02441,acspoly.ashti@gmail.com,Bodkhe Vijay Babanrao,282974-02441
2296,"Sevadas Shikshan Prasarak Mandal's Vasantrao Naik Instiute of Technology, Vasarni, Nanded",Aurangabad,"Gut No 24, Vasarni, Nanded. 431603",Nanded,Non-Autonomous,100,25,www.sevadasspmnnd.org,225375-2462,1506principal@msbte.com,MR. JOSHI K.C.,225375-2462
2298,"Shri Sai Institute of Technology(Polytechnic),Aurangabad",Aurangabad,"P-75 Behind Garware Palyster,MIDC ,Chikalthana  Aurangabad , 431210",Aurangabad,Non-Autonomous,40,40,www.ssit.org.in,2470312,ssitpoly@gmail.com,Gawande K R,2470312
2515,"Sai Institute of Engineering & Technology, Bilda, Aurangabad.",Aurangabad,"Survey No.170, Sai Nagar,Aurangabad Ajanta Road,Jalgaon Highway,Village Bilda,Tal. Phulambri,",Aurangabad,Non-Autonomous,50,25,www.sietaurangabad.com,2020555,sietaurangabad@gmail.com,Mr. Shankar Chate,2020555
2523,"Maitree Foundation's Maitree Institute of Management & Technology, Bhatangali Tal.& Dist. Latur",Aurangabad,"Gut. No. 237, Bhatangali, Tq. & Dist. Latur.  413512",Latur,Non-Autonomous,0,0,www.mimlatur.com,254888,mimlatur@rediffmail.com,Sharad Hudage,240430
2529,"V.J. Shinde College of Engineering, Osmanabad.",Aurangabad,"Gat No. 738, Waruda road, Osmanabad.",Osmanabad,Non-Autonomous,0,0,www.vjsengg.com,203205,vjscoe2529@gmail.com,Prof. Shinde Abhijeet V.,203205
2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad,"Kanchanwadi, Paithan Road, Aurangabad.",Aurangabad,Non-Autonomous,150,150,www.csmssengg.org,6646371,shahuengg@gmail.com,Pravinkumar G Jadhao,6646370
2535,"D.B.Group of Instituions, School of Technology, At.Mahalangra, Tal.Chakur,Latur",Aurangabad,"Opp. LATUT-NANDED HIGHWAY,AT MAHALANGRA,TQ-CHAKUR,DIST-LATUR-412513",Latur,Non-Autonomous,0,0,www.dbgroup.org.in,259009,dbimr@yahoo.com,PATHAN M.A.,259008
2573,"Gramin College of Engineering, Vishnupuri, Nanded",Aurangabad,"Vishnupuri, Nanded, Nanded waghala, Nanded",Nanded,Non-Autonomous,100,40,www.graminenggnanded.org,229112,graminenggnanded@gmail.com,Mrs. Gajbhare jaya,229900
3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,"H.R. Mahajani Marg, Matunga, Mumbai ",Mumbai City,Autonomous,0,0,www.vjti.ac.in,24198101,director@vjti.org.in,Dr. V. N. Palaskar,24198101
3014,"Sardar Patel College of Engineering, Andheri",Mumbai,"Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai ",Mumbai Suburban,Autonomous,30,0,www.spce.ac.in,26232192-201,principal@spce.ac.in,S.R.Vinerkar,26708371
3023,"St. Xavier's Technical Institute, Mumbai",Mumbai,"Mahim Causeway Road, Mahim, Mumbai , 400016",Mumbai City,Autonomous,0,0,www.xaviertech.com,24455937,office@xaviertech.com,RAVIRAJ GHADGE,24451961
3028,"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai",Mumbai,"Fr. Agnel Ashram Mumbai , 400050",Mumbai City,Autonomous,0,0,atc.fragnel.ac.in,67114054-254,fragnel_bandra@yahoo.com,DEEPAK MASANE,67114051-251
3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,"Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai ",Mumbai Suburban,Non-Autonomous,0,0,www.mctrgit.ac.in,26707026-101,mctrgit02@gmail.com,Shri. Subhash Khachane,26707025-101
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,"Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai ",Mumbai City,Non-Autonomous,0,0,www.vit.edu.in,24161126-1001,principal@vit.edu.in,Mukund Deshmukh,24161126-1001
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai,"Vaman Tukaram Patil Marg, Chembur, Mumbai",Mumbai Suburban,Non-Autonomous,0,0,www.shahandanchor.com,25580854-121,principal@sakec.ac.in,Prof.A.W.Khan,67978100-121
3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai,"Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad ",Raigad,Non-Autonomous,0,0,www.sce.edu.in,27743705-215,registrarsaraswati@gmail.com,Mr.Amar Shinde,27743706-215
3162,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",Mumbai,"Sector 8. CBD, Belapur, Navi Mumbai  400614",Thane,Non-Autonomous,50,30,www.bvimit.co.in,27578415-209,admission@bvimit.co.in,Amol Ghatage,27578415-209
3173,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",Mumbai,"DES's Mumbai Campus, Kirti College Road, Dadar (W), Mumbai.  400028",Mumbai City,Non-Autonomous,0,0,www.nmitd.edu.in,62764583,director@nmitd.edu.in,PRASAD KULAKRNI,62764583
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai ",Mumbai,"At Junction of NH4 & Sion-Panvel Expressway,  Kamothe, Navi Mumbai ",Raigad,Non-Autonomous,50,60,www.mgmmumbai.ac.in,27433421,principal.cet@mgmmumbai.ac.in,Dr. Sunita Shinde,65138119
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai,"Thakur Shyamnarayan Marg,Thakur Village,Kandivali(E), Mumbai",Mumbai Suburban,Autonomous,54,0,www.tcetmumbai.in,67308000-106,tcet@thakureducation.org,Prasad Madhavan,67308000-110
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai,"37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai ",Mumbai Suburban,Non-Autonomous,0,0,www.tsec.edu,26041631,gtthampi@yahoo.com,Manohar Chandwani,26047087
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,"Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",Mumbai Suburban,Non-Autonomous,18,0,www.fragnel.edu.in,67114000,crce@fragnel.edu.in,Chandrashekhar Shetty,67114101
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,"Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",Mumbai Suburban,Non-Autonomous,50,50,www.ves.ac.in/vesit,61532532,vesit@vsnl.com,Mrs. Asma Parveen I.Siddavatam,61532511-511
3189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai,"Sector - 7,CBD- Belpur, Navi Mumbai 400614 ",Thane,Non-Autonomous,240,310,www.bvcoenm.edu.in,27572140-103,principal.bvcoenm@bharatividyapeeth.edu,Mr. Santosh Shahaji Pawar,27571074-103
3190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,"Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai ",Thane,Non-Autonomous,24,30,www.ternaengg.ac.in,61115444-401,principal@terna.org,Kavita S.Kadam,61115401
3191,"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe",Mumbai,"At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",Ratnagiri,Non-Autonomous,400,100,www.mandaredusoc.org,230005-2008,rscoedegree@gmail.com,D K Gaikwad,230005-2009
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,"Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",Thane,Non-Autonomous,0,0,www.sigce.edu.in,27543608,contactus@sigce.edu.in,Chandrakant Jadhav,8080949300
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,"Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane ",Thane,Non-Autonomous,0,0,www.shivajiraojondhalecoe.org.in,2872560,officessjcoe@gmail.com, Mr. Shejul F. C.,2023973
3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai,"Vasai Road (W Rly), Tal: Vasai, District Palghar ",Palghar,Non-Autonomous,0,0,www.vcet.edu.in,2338234-111,vcet_inbox@vcet.edu.in,Mr. Vishal K. Save,2338234-111
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,"Sector 9-A,  Vashi, Navi Mumbai,",Thane,Non-Autonomous,8,5,www.fcrit.ac.in,227771000-123,principalfcrit@gmail.com,Neena Biju Nair,27771000-123
3198,"Konkan Gyanpeeth College of Engineering, Karjat",Mumbai,"Vengaon Road, Dahivali, Karjat",Raigad,Non-Autonomous,70,40,www.kgce.edu.in,222580-202,principal@kgce.edu.in,A,222580
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai,"Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",Mumbai Suburban,Non-Autonomous,0,0,www.djsce.ac.in,26123892,info@djsce.ac.in,Mrs. Shreeya Hadkar,26123892
3200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",Mumbai,"P- 60, P-60/1, MIDC, Mirjole Block, Ratnagiri",Ratnagiri,Non-Autonomous,150,75,www.famt.ac.in,229657,admin@famt.ac.in,Gajanan D Targaonkar,229569
3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mumbai,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",Ratnagiri,Non-Autonomous,773,170,www.rmcet.com,269400-202,info@rmcet.com,Padmanabh Shelar,269609
